127		16203
234		16235
93		16260
132		16290
148		26869
152		27061
377		27253
361		22481
323		22451
454		22426
356		22394
70		22586
63		22991
105		23303
66		23519
107		23736
336		24312
296		24527
334		24743
293		25055
300		25466
6		8134
195		8143
5		8151
4		8157
240		6986
99		7695
2		8167
328		8639
460		9346
33		2602
160		4146
158		4920
133		5830
153		4674
144		3900
362		10390
385		11287
387		12061
263		13481
373		12331
380		11557
61		5522
40		6026
37		7355
0		8181
267		9007
270		10329
291		10857
321		9730
314		8670
17		8199
84		7726
91		6898
62		6291
82		7364
13		8190
312		9016
292		10088
317		8663
14		8191
87		7719
